Code armoire	Code Support	Date pose support	Forme support	Nature support	Code foyer	Date Pose Foyer	Marque Luminaire	Libellé Réf Luminaire	Puissance foyer (Watt)	Secteur foyer	Code Lampe	Type Lampe	Référence	Puissance	IRC	Type	Douille	Date pose lampe	Nom Régime	Latitude	Longitude
1506-	85240342	24869	OCTO-CONIQUE	ACIER THERMOLAQUE	8524342A	39255	ECLATEC	ELIPT 45	120	SECTEUR 6	8524342A	SHP	TUBE	0100W	IR25	T22	E40	39255	NOCTURNE	45.16146861	5.72438576
1506-	85240343	24869	OCTO-CONIQUE	ACIER THERMOLAQUE	8524343A	39255	ECLATEC	ELIPT 45	120	SECTEUR 6	8524343A	SHP	TUBE	0100W	IR25	T22	E40	39255	NOCTURNE	45.16127194	5.724392697
0055-	23420023	39264	CYLINDRO-CONIQUE	ACIER THERMOLAQUE	23420023	39264	ECLATEC	ELIPT 55	120	SECTEUR 6	23420023	SHP	TUBE	0100W	IR25	T22	E40	41320.56807	NOCTURNE	45.16682242	5.726860116
0055-	23420025	39264	CYLINDRO-CONIQUE	ACIER THERMOLAQUE	23420025	39259	ECLATEC	ELIPT 55	120	SECTEUR 6	23420025	SHP	TUBE	0100W	IR25	T22	E40	41320.56807	NOCTURNE	45.16667989	5.726866252
0175A	47150023	39259	CYLINDRO-CONIQUE	ACIER THERMOLAQUE	47150023	39259	ECLATEC	ELIPT 55	175	SECTEUR 5	47150023	SHP	TUBE	0150W	IR25	T22	E40	40995.45954	NOCTURNE	45.17304845	5.743703466
0175A	47150024	39259	CYLINDRO-CONIQUE	ACIER THERMOLAQUE	4715024A	39259	ECLATEC	ELIPT 45	90	SECTEUR 5	4715024A	I.M.	TUBE	0070W	IR75	T30	R7s	39259	NOCTURNE	45.17290174	5.743641141
0175A	47150025	39259	CYLINDRO-CONIQUE	ACIER THERMOLAQUE	4715025A	39259	ECLATEC	ELIPT 45	90	SECTEUR 5	4715025A	I.M.	TUBE	0070W	IR75	T30	R7s	39259	NOCTURNE	45.17272729	5.743601484
1510-	56960041	39658	OCTO-CONIQUE	ACIER THERMOLAQUE	56960041	39651	ECLATEC	ELIPT 45	122	SECTEUR 6	56960041	I.C.	TUBE	100W	IR83	T28	E40	39910.51259	NOCTURNE	45.16349516	5.730326925
1510-	56960042	39260	OCTO-CONIQUE	ACIER THERMOLAQUE	56960042	39260	ECLATEC	ELIPT 45	122	SECTEUR 6	56960042	I.C.	TUBE	100W	IR83	T28	E40	39910.51259	NOCTURNE	45.16357091	5.730183975
1147-	01400005	23468	OCTO-CONIQUE	ACIER	0140M099	41121.72499	DECAUX	ABRIS BUS	360	SECTEUR 2	0140M099	ABRIS	BUS					41121.72499	MOBILIER URBAIN EN CONDUITE	45.18785876	5.726932365
