Luminaire - Type,Luminaire - Code luminaire,Luminaire - Hauteur de feu,Luminaire - X,Luminaire - Y,Lampe - IRC,Lampe - Température Couleur,Lampe - Régime,Lampe - Régime (simplifié),Latitude,Longitude
CLASSIQUE,42400002,10,913878.35,6456944.05,25,2000,GRE NOCTURNE,Fonctionnement standard,45.17860555143098,5.7234343004155175
CLASSIQUE,42400003,10,913855.95,6456952.32,25,2000,GRE NOCTURNE,Fonctionnement standard,45.17868692619404,5.723152924863975
CLASSIQUE,42400004,10,913821.96,6456954.79,25,2000,GRE NOCTURNE,Fonctionnement standard,45.178719704988325,5.722721537390266
CLASSIQUE,42400005,10,913793.95,6456969.05,25,2000,GRE NOCTURNE,Fonctionnement standard,45.17885672199417,5.722371409920491
CLASSIQUE,42400006,10,913771.89,6456978.35,25,2000,GRE NOCTURNE,Fonctionnement standard,45.1789472573348,5.722094809523494
CLASSIQUE,42400007,8,913747.6,6457007.23,25,2000,GRE NOCTURNE,Fonctionnement standard,45.17921468058212,5.7217984253634135
CLASSIQUE,42400008,8,913724.31,6457019.13,25,2000,GRE NOCTURNE,Fonctionnement standard,45.1793289930459,5.721507312818028
CLASSIQUE,42400009,8,913696.95,6457032.95,25,2000,GRE NOCTURNE,Fonctionnement standard,45.17946184513449,5.721165255934756
CLASSIQUE,42400010,8,913670.61,6457046.16,25,2000,GRE NOCTURNE,Fonctionnement standard,45.179588890504164,5.720835908063886
CLASSIQUE,4250040,7,912315.79,6457184.09,70,3000,GRE NOCTURNE,Fonctionnement standard,45.181249037248016,5.70365755705593
CLASSIQUE,4250041,7,912315.9,6457168.13,88,4200,GRE NOCTURNE,Fonctionnement standard,45.18110538121234,5.703652000667038
CLASSIQUE,42600001,8,915077.54,6455986.84,25,2000,GRE NOCTURNE AVEC REDUCTION Bi-Pw (Réduction de 30% de 22h40 à 5h40),Abaissement en milieu de nuit,45.16961849474533,5.738269547987951
CLASSIQUE,42600002,8,915045.51,6455970.25,25,2000,GRE NOCTURNE AVEC REDUCTION Bi-Pw (Réduction de 30% de 22h40 à 5h40),Abaissement en milieu de nuit,45.16947920444927,5.737854762815344
CLASSIQUE,42600003,8,915010.89,6455952.22,25,2000,GRE NOCTURNE AVEC REDUCTION Bi-Pw (Réduction de 30% de 22h40 à 5h40),Abaissement en milieu de nuit,45.16932776276093,5.737406396279233
CLASSIQUE,42600004,8,914989.13,6455929.4,25,2000,GRE NOCTURNE AVEC REDUCTION Bi-Pw (Réduction de 30% de 22h40 à 5h40),Abaissement en milieu de nuit,45.169129202506575,5.737119514347524
CLASSIQUE,42600005,8,914971.07,6455895.34,25,2000,GRE NOCTURNE AVEC REDUCTION Bi-Pw (Réduction de 30% de 22h40 à 5h40),Abaissement en milieu de nuit,45.168828341375196,5.736874744915179
CLASSIQUE,42600006,8,914958.81,6455861.91,25,2000,GRE NOCTURNE AVEC REDUCTION Bi-Pw (Réduction de 30% de 22h40 à 5h40),Abaissement en milieu de nuit,45.168531339317965,5.736704038381004
CLASSIQUE,42600007,8,914953.4,6455831.16,25,2000,GRE NOCTURNE AVEC REDUCTION Bi-Pw (Réduction de 30% de 22h40 à 5h40),Abaissement en milieu de nuit,45.16825631646395,5.736621654774008
CLASSIQUE,42600008,8,914937.16,6455801.59,25,2000,GRE NOCTURNE AVEC REDUCTION Bi-Pw (Réduction de 30% de 22h40 à 5h40),Abaissement en milieu de nuit,45.16799529079059,5.736402024176491
CLASSIQUE,42700002,8,914344.06,6455975.63,,,GRE NOCTURNE,Fonctionnement standard,45.1697462092873,5.7289337299952106
CLASSIQUE,42700003,8,914329.36,6455956.58,,,GRE NOCTURNE,Fonctionnement standard,45.169579356246786,5.728738346984876
CLASSIQUE,42700004,8,914313.95,6455936.5,,,GRE NOCTURNE,Fonctionnement standard,45.169403455012436,5.728533480032686
CLASSIQUE,42700005,8,914297.13,6455913.29,,,GRE NOCTURNE,Fonctionnement standard,45.16919982587348,5.728309300999223
CLASSIQUE,42700006,8,914279.61,6455889.39,,,GRE NOCTURNE,Fonctionnement standard,45.16899020486554,5.728075915340353
CLASSIQUE,42700007,8,914262.69,6455864.45,,,GRE NOCTURNE,Fonctionnement standard,45.16877103807175,5.727849706928773
CLASSIQUE,42700008,8,914248.08,6455837.25,,,GRE NOCTURNE,Fonctionnement standard,45.168530815286545,5.7276518926473265
CLASSIQUE,42700012,9,914251.52,6455871.02,25,2000,GRE NOCTURNE,Fonctionnement standard,45.16883363366732,5.727710499357477
CLASSIQUE,42700013,9,914221.14,6455830.53,25,2000,GRE NOCTURNE,Fonctionnement standard,45.16847872071486,5.727306230937659
CLASSIQUE,42700014,9,914208.59,6455813.31,25,2000,GRE NOCTURNE,Fonctionnement standard,45.16832766414422,5.727139011931499
CLASSIQUE,42700015,9,914200.29,6455800.6,25,2000,GRE NOCTURNE,Fonctionnement standard,45.1682158704233,5.72702784057538
CLASSIQUE,4270008A,8,914249.04,6455835.01,88,4200,GRE NOCTURNE,Fonctionnement standard,45.168510359528184,5.727663120223561
CLASSIQUE,42750020,6.1,913946.07,6455476.42,88,2800,GRE NOCTURNE AVEC REDUCTION VARIATEUR LUBIO (Réduction de 30 % de 23h à 6h),Abaissement en milieu de nuit,45.165377639243935,5.723651578695253
CLASSIQUE,42750021,6.1,913929.95,6455482.43,88,2800,GRE NOCTURNE AVEC REDUCTION VARIATEUR LUBIO (Réduction de 30 % de 23h à 6h),Abaissement en milieu de nuit,45.16543672720967,5.723449162750079
CLASSIQUE,42750022,6.1,913925.66,6455469.6,88,2800,GRE NOCTURNE AVEC REDUCTION VARIATEUR LUBIO (Réduction de 30 % de 23h à 6h),Abaissement en milieu de nuit,45.165322604991886,5.7233889608540744
CLASSIQUE,42750023,6.1,913911.82,6455479.37,88,2800,GRE NOCTURNE AVEC REDUCTION VARIATEUR LUBIO (Réduction de 30 % de 23h à 6h),Abaissement en milieu de nuit,45.16541481999752,5.723217197633744
CLASSIQUE,42750024,6.1,913896.91,6455468.27,88,2800,GRE NOCTURNE AVEC REDUCTION VARIATEUR LUBIO (Réduction de 30 % de 23h à 6h),Abaissement en milieu de nuit,45.165319562547246,5.72302266432343
CLASSIQUE,42750025,6.1,913881.7,6455473.59,88,2800,GRE NOCTURNE AVEC REDUCTION VARIATEUR LUBIO (Réduction de 30 % de 23h à 6h),Abaissement en milieu de nuit,45.165372157733096,5.722831520765633
